Référence;"Nbr Articles";"Mode de paiement";"Total Vente (22)";"Dont Marge"
757;1;numeraire;3.25;0.72
758;5;numeraire;49.05;10.79
759;2;numeraire;3.10;0.68
760;1;numeraire;11.00;2.42
761;3;carte;23.75;5.23
762;1;numeraire;6.50;1.43
763;2;carte;27.00;5.94
764;1;numeraire;6.80;1.50
765;1;numeraire;12.00;2.64
766;4;numeraire;37.00;8.14
767;1;numeraire;10.50;2.31
768;5;carte;19.60;4.31
769;1;numeraire;1.60;0.35
770;5;carte;51.50;11.33
771;2;numeraire;22.00;4.84
772;6;numeraire;39.90;8.78
773;2;cheque;26.00;5.72
775;1;carte;13.00;2.86
776;9;carte;55.60;12.23
777;1;carte;20.00;4.40
778;3;carte;97.00;21.34
779;1;numeraire;11.00;2.42
780;4;numeraire;50.00;11.00
781;3;cheque;59.00;12.98
782;1;numeraire;13.00;2.86
783;1;numeraire;36.00;7.92
784;1;numeraire;1.50;0.33
